order_id,priority_num,predicted_high_risk_probability,order_completion_minutes,total_volume_cm3,total_weight_kg,high_risk,probability_bin,volume_bucket,weight_bucket,probability_bin_order
BLR_127930,5,0.35525453408308916,516.4605163654101,140348.561568,24.44035,False,0.3-0.4,100k-200k,20-50,3
BLR_127931,5,0.5744631643734898,543.1864351618493,456486.714708,164.99730161290321,False,0.5-0.6,200k-500k,>50,5
BLR_127932,2,0.00015377476368012553,221.09275341275776,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_127933,1,4.506531860605889e-05,138.01136062002058,265176.4650856,34.27532,False,0.0-0.1,200k-500k,20-50,0
BLR_127935,1,5.661561259534442e-05,140.73211739129653,365160.3047136,65.94548,False,0.0-0.1,200k-500k,>50,0
BLR_127936,5,0.8641954947889869,573.2616669034226,1258375.641331,348.57726,True,0.8-0.9,>500k,>50,8
BLR_127937,3,0.09887097651115907,471.6666916648815,1807900.680986,553.3804,False,0.0-0.1,>500k,>50,0
BLR_127938,3,0.026295000908472855,407.2104452331635,1020854.8549868554,307.78333496774195,False,0.0-0.1,>500k,>50,0
BLR_127939,1,0.00027345590274736105,145.53607985710988,1148804.296538,237.24283,False,0.0-0.1,>500k,>50,0
BLR_127940,1,8.915731221257985e-05,40.93435264417576,531733.9184552,104.11632,False,0.0-0.1,>500k,>50,0
BLR_127941,3,0.036134056472307365,463.7658520565819,1108736.4004832,290.82039612903225,False,0.0-0.1,>500k,>50,0
BLR_127942,5,0.5093127389713115,523.0385480434973,357477.61808559997,57.628479999999996,False,0.5-0.6,200k-500k,>50,5
BLR_127943,5,0.7273457825655362,585.775399915113,780682.3641262,267.9505570322581,True,0.7-0.8,>500k,>50,7
BLR_127946,1,0.00016958139438309565,69.46300014778181,956639.1914722554,313.90153941935483,False,0.0-0.1,>500k,>50,0
BLR_127947,1,6.206483562329927e-05,33.81244494069946,458887.143944,62.25409,False,0.0-0.1,200k-500k,>50,0
BLR_127949,3,0.007779350288444238,417.77320282603785,341206.1985256,61.77783,False,0.0-0.1,200k-500k,>50,0
BLR_127950,2,0.0010088163395219206,225.59594899455905,481194.3779284,69.051995,False,0.0-0.1,200k-500k,>50,0
BLR_127951,2,0.00015377476368012553,126.04123807288555,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_127952,5,0.7746822205611597,587.9522449732193,895212.3417496,252.48726,True,0.7-0.8,>500k,>50,7
BLR_127953,1,0.02587724164292708,356.4541625627236,3439580.6517554,841.5146545806451,False,0.0-0.1,>500k,>50,0
BLR_127954,1,0.0008316663579951246,150.13565151987217,1916405.3483334002,388.92503899999997,False,0.0-0.1,>500k,>50,0
BLR_127955,2,0.0011435188819983696,237.5264272208542,556981.2728694,97.2853,False,0.0-0.1,>500k,>50,0
BLR_127957,1,4.421995424657358e-05,75.2482018290906,250983.395444,43.57344,False,0.0-0.1,200k-500k,20-50,0
BLR_127958,5,0.693350496308163,569.1877977618295,716805.8306940779,230.61077696774194,True,0.6-0.7,>500k,>50,6
BLR_127959,2,0.0009729488651761356,173.14622821577976,521076.5251856,147.10735,False,0.0-0.1,>500k,>50,0
BLR_127962,1,8.399039967258404e-05,97.43647932373602,546991.8684950554,157.422604,False,0.0-0.1,>500k,>50,0
BLR_127963,2,0.0007371317937609281,177.26222743123654,417039.6065464045,192.204456,False,0.0-0.1,200k-500k,>50,0
BLR_127964,3,0.03427056451634009,444.8619017493353,1034192.9262508,239.28303322580646,False,0.0-0.1,>500k,>50,0
BLR_127966,3,0.031889367064153136,442.74985231587175,1082992.5081476,265.05684,False,0.0-0.1,>500k,>50,0
BLR_127967,2,0.0008948060304114825,191.51231648981718,473766.5641072,141.45444838709676,False,0.0-0.1,200k-500k,>50,0
BLR_127968,3,0.019818801995793077,398.4934240336618,900308.9442244045,289.1113552903226,False,0.0-0.1,>500k,>50,0
BLR_127969,5,0.7781952053281134,556.1246013451818,880764.9073606,218.40631612903226,False,0.7-0.8,>500k,>50,7
BLR_127970,3,0.14885364716467503,365.51100681609404,1945566.030686,399.26557483870965,False,0.1-0.2,>500k,>50,1
BLR_127971,5,0.9600255376894301,559.9527436435169,2103201.9657223998,588.5191876774194,False,0.9-1.0,>500k,>50,9
BLR_127972,2,0.01802319189992937,303.70486919901913,2186331.1106378,469.37291258064516,False,0.0-0.1,>500k,>50,0
BLR_127973,3,0.021510571398746067,293.5308440838189,823059.7142056,167.58743064516128,False,0.0-0.1,>500k,>50,0
BLR_127974,2,0.0013393444660471769,221.8943534440379,624669.8295224,120.65371,False,0.0-0.1,>500k,>50,0
BLR_127975,3,0.0351009766899795,372.3848472143265,1068489.222184,304.54794,False,0.0-0.1,>500k,>50,0
BLR_127976,5,0.6628673642308377,470.2836635989574,628181.9768538389,220.85893503225807,False,0.6-0.7,>500k,>50,6
BLR_127977,2,0.0006855023962526075,205.17349141583102,313951.944416,70.0349741935484,False,0.0-0.1,200k-500k,>50,0
BLR_127979,2,0.0009201980872168617,216.01447639701183,532131.9922552,65.37595,False,0.0-0.1,>500k,>50,0
BLR_127981,5,0.49949789581609033,492.2283867481439,321577.0248398,45.34428,False,0.4-0.5,200k-500k,20-50,4
BLR_127982,1,0.004876889063056241,267.5562587522881,2677939.2778828,555.2709824193548,False,0.0-0.1,>500k,>50,0
BLR_127984,2,0.0004238664601490586,215.80089968501724,144371.384944,30.5848,False,0.0-0.1,100k-200k,20-50,0
BLR_127985,2,0.0014201077382022963,244.27979879910222,709605.174204,111.41734,False,0.0-0.1,>500k,>50,0
BLR_127986,2,0.004683091168188321,332.9774162823161,1593587.6442212001,492.38911161290326,False,0.0-0.1,>500k,>50,0
BLR_127987,3,0.30178164900088456,456.84001982550797,2431673.2665620553,688.368678967742,False,0.3-0.4,>500k,>50,3
BLR_127988,1,0.0008500557330796497,179.34721636681994,1931037.0477988,395.3215112903226,False,0.0-0.1,>500k,>50,0
BLR_127989,5,0.7380957622461051,527.541395052308,753859.627776239,204.86325503225805,False,0.7-0.8,>500k,>50,7
BLR_127990,3,0.060921402974071844,374.5377967662793,1569379.142634239,435.443046,False,0.0-0.1,>500k,>50,0
BLR_127991,5,0.9233939472448632,568.5965468275803,1554203.8907413976,379.3509308387097,True,0.9-1.0,>500k,>50,9
BLR_127992,5,0.5556738871929193,544.7542871090501,453493.141311,75.27691,False,0.5-0.6,200k-500k,>50,5
BLR_127993,9,0.9999423705078873,578.5300147159654,206471.046517,36.8445,True,0.9-1.0,200k-500k,20-50,9
BLR_127994,4,0.07998833071540545,443.320615111892,274366.597624,74.72214,False,0.0-0.1,200k-500k,>50,0
BLR_127995,4,0.18526557315112446,511.5949329194603,809572.5942800001,224.93298,False,0.1-0.2,>500k,>50,1
BLR_128118,5,0.6467354502003135,693.0574612546628,548266.346881,108.65863,False,0.6-0.7,>500k,>50,6
BLR_128119,5,0.36704260242657544,521.0837636855987,221211.674,42.807694,False,0.3-0.4,200k-500k,20-50,3
BLR_128120,5,0.9823373568427798,658.3943994215291,2760434.64654,625.6288332258065,False,0.9-1.0,>500k,>50,9
BLR_128121,5,0.9989102401361766,760.8417886209756,3810086.0380042046,783.186874,True,0.9-1.0,>500k,>50,9
BLR_128122,2,0.06119625853944726,384.9058658472477,3080049.370711,588.4506193548388,False,0.0-0.1,>500k,>50,0
BLR_128123,2,0.005204577408275397,336.58697138382905,1250390.5852302,194.85118161290322,False,0.0-0.1,>500k,>50,0
BLR_128124,2,0.0023245957579463897,220.58156917839776,983121.749875,194.65517,False,0.0-0.1,>500k,>50,0
BLR_128126,1,0.07380722654718701,345.72639756434097,4386595.00488403,954.6128806451613,False,0.0-0.1,>500k,>50,0
BLR_128129,3,0.036420251106192236,510.90103870844626,1185118.829936,266.4239528387097,False,0.0-0.1,>500k,>50,0
BLR_128130,3,0.020313761498506253,404.57042393408216,740864.28039,236.79821129032257,False,0.0-0.1,>500k,>50,0
BLR_128131,1,6.59103347424789e-05,136.4653007391884,455996.79531,169.30030451612905,False,0.0-0.1,200k-500k,>50,0
BLR_128133,1,1.2894607414648172e-05,1.4257053199876737,115.5,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_128134,5,0.8800415169606611,633.2624783436218,1288297.027766,288.35086322580645,False,0.8-0.9,>500k,>50,8
BLR_128135,1,5.264143521815805e-05,22.3134309165719,258161.410438,69.93993,False,0.0-0.1,200k-500k,>50,0
BLR_128136,2,0.0014771414199347638,229.63843067622096,729861.057759,146.33899483870968,False,0.0-0.1,>500k,>50,0
BLR_128137,5,0.8449760803212863,671.7196500384422,1120805.323111,285.779184,False,0.8-0.9,>500k,>50,8
BLR_128138,3,0.02948976582203873,438.1283760398452,943789.668482,224.8437458064516,False,0.0-0.1,>500k,>50,0
BLR_128140,1,0.0008565372885922121,129.9701877951239,1921832.1024508046,480.03009358064514,False,0.0-0.1,>500k,>50,0
BLR_128141,3,0.03230003472427368,427.2989875579349,1179760.0054048044,405.1969082580645,False,0.0-0.1,>500k,>50,0
BLR_128142,1,0.00011733481534564923,62.162663167513344,705438.155886,156.87368,False,0.0-0.1,>500k,>50,0
BLR_128143,2,0.21359939749071846,360.6400051101995,3907970.2374876,908.8771490322581,False,0.2-0.3,>500k,>50,2
BLR_128144,1,0.0002008027805829462,115.85934690608856,1073004.5809086,190.58747,False,0.0-0.1,>500k,>50,0
BLR_128146,1,0.0005852977806828356,164.14867991076548,1760403.499384,408.6158018064516,False,0.0-0.1,>500k,>50,0
BLR_128147,3,0.046159908321844384,489.65380863422234,1220017.766088639,308.9434208387097,False,0.0-0.1,>500k,>50,0
BLR_128148,3,0.0430719258181434,528.191538308133,1310321.544209,385.8453212903226,False,0.0-0.1,>500k,>50,0
BLR_128149,1,0.00010479588975473307,112.07298933759328,630722.2106710001,127.203788,False,0.0-0.1,>500k,>50,0
BLR_128150,3,0.0641032451826198,537.1435174675757,1578217.846782,421.1761712903226,False,0.0-0.1,>500k,>50,0
BLR_128151,2,0.0015109911044618278,261.4313528020296,791992.298031,193.13602,False,0.0-0.1,>500k,>50,0
BLR_128152,5,0.6123666575817274,629.3411869870205,540992.781571,108.34955,False,0.6-0.7,>500k,>50,6
BLR_128153,2,0.002819882003345552,305.67214009509803,1051622.984093,171.21951,False,0.0-0.1,>500k,>50,0
BLR_128155,5,0.9685424802970346,739.7063252985247,2302396.3553628046,530.064312,True,0.9-1.0,>500k,>50,9
BLR_128156,5,0.5220286398790862,650.2133625667583,342031.575691,69.23128,False,0.5-0.6,200k-500k,>50,5
BLR_128157,1,8.718694110814245e-05,112.09602897303157,537969.477574,87.07878451612903,False,0.0-0.1,>500k,>50,0
BLR_128158,5,0.960936758755053,800.8169181612473,1973588.15271,513.7461403225807,True,0.9-1.0,>500k,>50,9
BLR_128160,5,0.8806591686793449,767.6844282340442,1762312.218705,453.79864,True,0.8-0.9,>500k,>50,8
BLR_128161,2,0.0008673902663274079,424.8530161945718,789819.86204,143.78175,False,0.0-0.1,>500k,>50,0
BLR_128162,1,0.00035568281111214307,177.45593475729186,1392233.872399,259.32812451612904,False,0.0-0.1,>500k,>50,0
BLR_128163,1,0.00023494342906089517,232.68169159049296,1311352.42944,207.6395364516129,False,0.0-0.1,>500k,>50,0
BLR_128164,3,0.017205619953535662,573.6186574906791,1044766.829655,330.87627,False,0.0-0.1,>500k,>50,0
BLR_128165,2,0.01994830655287955,467.24100967578767,2575834.235932556,457.626848,False,0.0-0.1,>500k,>50,0
BLR_128166,1,3.6340053232268014e-05,115.49091368613603,182805.3958,31.7186,False,0.0-0.1,100k-200k,20-50,0
BLR_128168,3,0.02697008829023696,566.8192320098755,1211862.3158105998,239.1462729032258,False,0.0-0.1,>500k,>50,0
BLR_128170,3,0.09964256381646114,606.9673863743902,1423252.485809,370.94763774193547,False,0.0-0.1,>500k,>50,0
BLR_128171,1,9.216030492276136e-05,151.09582294551385,574965.8344905,210.10775,False,0.0-0.1,>500k,>50,0
BLR_128173,2,0.01784400680649752,425.0105376119974,2348753.636001,536.76399,False,0.0-0.1,>500k,>50,0
BLR_128174,5,0.5523264322545282,769.7008662521657,636374.1695000001,118.82208,True,0.5-0.6,>500k,>50,5
BLR_128175,3,0.03632848959160264,554.6309756506348,1425455.709191,272.0905916129032,False,0.0-0.1,>500k,>50,0
BLR_128176,5,0.7555047401540768,700.266580170552,993008.8660325999,149.63352,True,0.7-0.8,>500k,>50,7
BLR_128177,2,0.0027106944929818316,359.5108259564825,1216513.925957,330.7591125806452,False,0.0-0.1,>500k,>50,0
BLR_128178,2,0.0015614656358589574,368.6228009577996,900170.9019028045,128.166426,False,0.0-0.1,>500k,>50,0
BLR_128179,3,0.0021076359745756806,328.31219677869336,22030.1374,4.361,False,0.0-0.1,<=50k,<=5,0
BLR_128445,5,0.6502439597275383,610.0068719495532,630997.5368116,123.07751999999999,False,0.6-0.7,>500k,>50,6
BLR_128446,5,0.5072373021121928,605.4346881189965,300924.825483,89.71724,False,0.5-0.6,200k-500k,>50,5
BLR_128447,5,0.2963437263245483,587.7486683327313,146280.7644,18.24388,False,0.2-0.3,100k-200k,10-20,2
BLR_128448,3,0.024794702798707532,425.3631571456535,975450.943184,241.30592419354838,False,0.0-0.1,>500k,>50,0
BLR_128449,2,0.01773641830516184,356.3105610021932,2060480.8992786,477.4213064516129,False,0.0-0.1,>500k,>50,0
BLR_128450,5,0.7383786452992058,598.567741401487,805832.0328810434,214.7768868387097,False,0.7-0.8,>500k,>50,7
BLR_128451,3,0.02859308352091275,443.3768843698928,979045.7429866849,260.37934,False,0.0-0.1,>500k,>50,0
BLR_128452,1,0.00018988599273009083,170.11516880273663,991054.521399639,238.76933729032257,False,0.0-0.1,>500k,>50,0
BLR_128453,2,0.007962210025622727,326.31483947065294,1568388.23248,364.7617636451613,False,0.0-0.1,>500k,>50,0
BLR_128454,1,0.00015026698588950106,166.98955899449209,915613.586538,190.404958,False,0.0-0.1,>500k,>50,0
BLR_128455,1,0.00042989105196190544,110.3568828401222,1484074.169567,398.1622066451613,False,0.0-0.1,>500k,>50,0
BLR_128456,5,0.8203873320384923,661.0876246934065,1024437.299422639,243.11174180645162,True,0.8-0.9,>500k,>50,8
BLR_128457,3,0.0986789498604312,546.829669536444,2080687.589889,591.5848958064516,False,0.0-0.1,>500k,>50,0
BLR_128458,1,0.00025136076643664284,108.87078925227976,892954.0606130001,230.24504,False,0.0-0.1,>500k,>50,0
BLR_128459,3,0.026895440657898548,481.48050148418207,1009076.002313,251.5341258064516,False,0.0-0.1,>500k,>50,0
BLR_128460,1,1.2891647361045651e-05,23.308966880026933,0.283024,0.001,False,0.0-0.1,<=50k,<=5,0
BLR_128461,2,0.0008665959592341157,170.2876630870017,482700.767643,121.41377,False,0.0-0.1,200k-500k,>50,0
BLR_128463,5,0.9145843180416178,710.7342958819706,1648356.409707,360.3097219354839,True,0.9-1.0,>500k,>50,9
BLR_128466,5,0.8710021009701396,658.6400683180428,1277478.5924330554,396.051338,True,0.8-0.9,>500k,>50,8
BLR_128467,3,0.024051833222312833,460.6171679065404,792189.3289822,262.26831612903226,False,0.0-0.1,>500k,>50,0
BLR_128468,1,0.00011443254247259857,66.91251818036405,693246.6954,174.46247,False,0.0-0.1,>500k,>50,0
BLR_128469,1,1.288961398080106e-05,34.19234094729755,0.427024,0.0015,False,0.0-0.1,<=50k,<=5,0
BLR_128471,2,0.1052289606826686,311.03906428344703,2944654.750244685,671.7886916129032,False,0.1-0.2,>500k,>50,1
BLR_128472,3,0.0213205943973961,518.856009309695,971383.1171575,261.798936,False,0.0-0.1,>500k,>50,0
BLR_128473,1,0.0002532758954211809,124.63947277188782,1300880.512712,404.0644467741936,False,0.0-0.1,>500k,>50,0
