zone,total_work_minutes,total_qty,order_count,avg_task_minutes,avg_bins,avg_volume,work_minutes_per_unit,bottleneck_zone,times_bottleneck,times_caused_high_risk,high_risk_causation_rate,bottleneck_share,high_risk_share,action_category
combo_9,118278.16666666667,497966.0,1565,75.57710330138445,98.12268370607029,168337.95270081534,0.23752257516912134,combo_9,978.0,126.0,0.12883435582822086,0.5083160083160083,0.6086956521739131,Priority 1 - High Risk Impact
combo_11,77499.0,239718.0,1571,49.330999363462766,73.23042647994907,50923.52661016633,0.3232923685330263,combo_11,170.0,19.0,0.11176470588235295,0.08835758835758836,0.09178743961352658,Priority 1 - High Risk Impact
FMCG_FOOD2,68323.16666666667,262358.0,1557,43.88128880325412,59.678869621066156,63617.25586629673,0.2604196047639739,FMCG_FOOD2,83.0,13.0,0.1566265060240964,0.04313929313929314,0.06280193236714976,Priority 1 - High Risk Impact
combo_6,68887.58333333333,214549.0,1571,43.84951198811797,64.93761935073202,60109.76551433874,0.3210808875051076,combo_6,72.0,10.0,0.1388888888888889,0.037422037422037424,0.04830917874396135,Priority 2 - Investigate
BISC_BAK,42547.08333333333,181627.0,1557,27.326321986726608,35.2106615285806,43096.47816323378,0.23425527775789573,BISC_BAK,43.0,7.0,0.16279069767441862,0.02234927234927235,0.033816425120772944,Priority 2 - Investigate
combo_2,23287.833333333332,123238.0,1839,12.66331339496103,14.157694399129962,8499.164112802231,0.1889663361409089,combo_2,305.0,7.0,0.022950819672131147,0.15852390852390852,0.033816425120772944,Priority 2 - Investigate
combo_8,59161.08333333333,175123.0,1571,37.65823254827074,56.7377466581795,149750.13369343342,0.3378258899935093,combo_8,109.0,6.0,0.05504587155963303,0.056652806652806656,0.028985507246376812,Priority 2 - Investigate
FMCG_FOOD1,49368.416666666664,180683.0,1558,31.687045357295677,44.04557124518614,55323.86954143004,0.273232217013591,FMCG_FOOD1,16.0,5.0,0.3125,0.008316008316008316,0.024154589371980676,Priority 2 - Investigate
CD_CICO,29139.833333333332,246268.0,1467,19.863553737786866,11.748466257668712,14817.662140957736,0.11832569937358216,CD_CICO,16.0,4.0,0.25,0.008316008316008316,0.01932367149758454,Monitor
FRAGILE_FD,31328.0,103392.0,1546,20.263906856403622,29.38163001293661,28781.78108571102,0.3030021665119158,FRAGILE_FD,26.0,4.0,0.15384615384615385,0.013513513513513514,0.01932367149758454,Monitor
CICO_G2,29738.333333333332,293326.0,1414,21.03135313531353,7.488684582743988,11907.31519320297,0.10138321639859178,CICO_G2,17.0,2.0,0.11764705882352941,0.008835758835758836,0.00966183574879227,Monitor
combo_4,15635.25,32721.0,1551,10.080754352030947,16.645390070921987,26396.957925019065,0.4778353351058953,combo_4,5.0,2.0,0.4,0.002598752598752599,0.00966183574879227,Efficiency Opportunity
GOLD,88.83333333333333,322.0,79,1.1244725738396624,1.5696202531645569,138.40178688607597,0.275879917184265,GOLD,18.0,1.0,0.05555555555555555,0.009355509355509356,0.004830917874396135,Monitor
DIAPERS,11467.916666666666,40343.0,1496,7.665719696969696,10.836898395721924,59304.11535024225,0.28426038387493907,DIAPERS,3.0,1.0,0.3333333333333333,0.0015592515592515593,0.004830917874396135,Monitor
ATTA,9146.5,48906.0,1456,6.281936813186813,6.96565934065934,33146.98633035715,0.18702204228520017,ATTA,4.0,0.0,0.0,0.002079002079002079,0.0,Monitor
CICO_OIL,7061.583333333333,59677.0,1250,5.649266666666667,3.3416,8119.55351584,0.11833006574280432,CICO_OIL,1.0,0.0,0.0,0.0005197505197505198,0.0,Monitor
CHOCOLATES,35413.25,187515.0,1545,22.921197411003238,25.61423948220065,12889.091001731269,0.18885555822200892,CHOCOLATES,22.0,0.0,0.0,0.011434511434511435,0.0,Monitor
CICO_FD,18114.916666666668,70403.0,1531,11.832081428260397,16.0,18346.562765806662,0.25730319257228623,CICO_FD,2.0,0.0,0.0,0.0010395010395010396,0.0,Monitor
DP+DB,13452.0,59940.0,1486,9.052489905787349,11.382234185733513,14965.701698591925,0.22442442442442442,DP+DB,1.0,0.0,0.0,0.0005197505197505198,0.0,Monitor
SPICES&DAL,49457.916666666664,180827.0,1559,31.72412871498824,44.116741500962156,46678.39818842206,0.2735095791373338,SPICES&DAL,9.0,0.0,0.0,0.004677754677754678,0.0,Monitor
H_STAPLES,28866.916666666664,173693.0,1527,18.904333115040384,18.850687622789785,51609.048708749186,0.16619504911923141,H_STAPLES,1.0,0.0,0.0,0.0005197505197505198,0.0,Monitor
HVAL_APPG1,6639.0,16404.0,958,6.930062630480167,11.006263048016702,12435.444861514614,0.40471836137527434,HVAL_APPG1,9.0,0.0,0.0,0.004677754677754678,0.0,Efficiency Opportunity
HNK_LARGE,6102.0,22872.0,1454,4.196698762035763,5.771664374140302,66068.21859825795,0.2667890870933893,HNK_LARGE,4.0,0.0,0.0,0.002079002079002079,0.0,Monitor
REB_G1_FD,11976.833333333334,27550.0,1447,8.277009905551717,13.38078783690394,19565.6888252777,0.4347307924984876,REB_G1_FD,2.0,0.0,0.0,0.0010395010395010396,0.0,Efficiency Opportunity
STAPLES,37743.916666666664,180581.0,1544,24.445541882556128,29.398316062176164,38918.27360800518,0.20901377590481093,STAPLES,5.0,0.0,0.0,0.002598752598752599,0.0,Monitor
combo_5,40729.916666666664,184241.0,1556,26.176038988860324,32.61760925449872,40997.03968048586,0.2210686908270508,combo_5,3.0,0.0,0.0,0.0015592515592515593,0.0,Monitor
CICO_D2,8672.833333333334,55456.0,1331,6.516028049085901,6.087903831705485,20317.50143087257,0.1563912531256011,,,,,,,Monitor
DL+CL,8980.0,34944.0,1453,6.180316586373022,8.35237439779766,17621.426424931866,0.2569826007326007,,,,,,,Monitor
HVAL_APP_2,610.1666666666666,1394.0,560,1.0895833333333333,1.7642857142857142,13830.738460735714,0.4377092300334768,,,,,,,Efficiency Opportunity
LIQUID_E0,6787.5,27318.0,1358,4.998159057437408,6.64359351988218,28429.035976406478,0.24846255216340873,,,,,,,Monitor
M&S_2,3968.25,13611.0,1348,2.9438056379821957,4.204747774480712,30205.84041093393,0.2915472779369627,,,,,,,Monitor
OIL&GHEE_S,10977.333333333334,43804.0,1510,7.269757174392937,9.704635761589405,14331.489720304637,0.2506011627553039,,,,,,,Monitor
REB_FD_G0,1643.9166666666667,4637.0,853,1.927217663149668,2.9484173505275497,6183.844716310668,0.35452160161023655,,,,,,,Efficiency Opportunity
SAMPLE,264.25,1059.0,333,0.7935435435435435,1.057057057057057,5644.08661021021,0.2495278564683664,,,,,,,Monitor
combo_1,3008.6666666666665,23564.0,1084,2.775522755227552,1.9280442804428044,22162.831350553504,0.12768064278843433,,,,,,,Monitor
combo_10,2145.75,5727.0,850,2.5244117647058824,3.9258823529411764,9610.89969549647,0.3746726034573075,,,,,,,Efficiency Opportunity
combo_3,9884.333333333334,43174.0,1510,6.545916114790288,8.326490066225166,16189.453298919207,0.2289418013928136,,,,,,,Monitor
combo_7,7105.833333333333,18364.0,1358,5.232572410407462,8.211340206185566,16771.50505997558,0.3869436578813621,,,,,,,Efficiency Opportunity
