--1. Top 10 bottleneck zones,,,,,
zone,total_work_minutes,order_count,avg_work_minutes,,
combo_9,118278.1667,1565,75.5771033,,
combo_11,77499,1571,49.33099936,,
combo_6,68887.58333,1571,43.84951199,,
FMCG_FOOD2,68323.16667,1557,43.8812888,,
combo_8,59161.08333,1571,37.65823255,,
SPICES&DAL,49457.91667,1559,31.72412871,,
FMCG_FOOD1,49368.41667,1558,31.68704536,,
BISC_BAK,42547.08333,1557,27.32632199,,
combo_5,40729.91667,1556,26.17603899,,
STAPLES,37743.91667,1544,24.44554188,,
,,,,,
,,,,,
2. Zone efficiency — workload per unit,,,,,
zone,total_work_minutes,total_qty,minutes_per_unit,,
combo_4,15635.25,32721,0.477835335,,
HVAL_APP_2,610.1666667,1394,0.43770923,,
REB_G1_FD,11976.83333,27550,0.434730792,,
HVAL_APPG1,6639,16404,0.404718361,,
combo_7,7105.833333,18364,0.386943658,,
combo_10,2145.75,5727,0.374672603,,
REB_FD_G0,1643.916667,4637,0.354521602,,
combo_8,59161.08333,175123,0.33782589,,
combo_11,77499,239718,0.323292369,,
combo_6,68887.58333,214549,0.321080888,,
,,,,,
3. Zone complexity vs workload,,,,,
zone,zone_complexity_tier,total_work_minutes,avg_work_minutes,total_qty,
combo_9,4,118278.1667,75.5771033,497966,
combo_11,6,77499,49.33099936,239718,
combo_6,6,68887.58333,43.84951199,214549,
FMCG_FOOD2,4,68323.16667,43.8812888,262358,
combo_8,3,59161.08333,37.65823255,175123,
SPICES&DAL,6,49457.91667,31.72412871,180827,
FMCG_FOOD1,6,49368.41667,31.68704536,180683,
BISC_BAK,4,42547.08333,27.32632199,181627,
combo_5,3,40729.91667,26.17603899,184241,
STAPLES,4,37743.91667,24.44554188,180581,
CHOCOLATES,4,35413.25,22.92119741,187515,
FRAGILE_FD,3,31328,20.26390686,103392,
CICO_G2,7,29738.33333,21.03135314,293326,
CD_CICO,7,29139.83333,19.86355374,246268,
H_STAPLES,3,28866.91667,18.90433312,173693,
combo_2,1,23287.83333,12.66331339,123238,
CICO_FD,7,18114.91667,11.83208143,70403,
combo_4,6,15635.25,10.08075435,32721,
DP+DB,3,13452,9.052489906,59940,
REB_G1_FD,6,11976.83333,8.277009906,27550,
DIAPERS,3,11467.91667,7.665719697,40343,
OIL&GHEE_S,4,10977.33333,7.269757174,43804,
combo_3,4,9884.333333,6.545916115,43174,
ATTA,2,9146.5,6.281936813,48906,
DL+CL,3,8980,6.180316586,34944,
CICO_D2,7,8672.833333,6.516028049,55456,
combo_7,6,7105.833333,5.23257241,18364,
CICO_OIL,7,7061.583333,5.649266667,59677,
LIQUID_E0,3,6787.5,4.998159057,27318,
HVAL_APPG1,1,6639,6.93006263,16404,
HNK_LARGE,3,6102,4.196698762,22872,
M&S_2,4,3968.25,2.943805638,13611,
combo_1,1,3008.666667,2.775522755,23564,
combo_10,6,2145.75,2.524411765,5727,
REB_FD_G0,6,1643.916667,1.927217663,4637,
HVAL_APP_2,1,610.1666667,1.089583333,1394,
SAMPLE,6,264.25,0.793543544,1059,
GOLD,1,88.83333333,1.124472574,322,
,,,,,
,,,,,
4. Priority workload,,,,,
priority_num,order_count,total_qty,total_work_minutes,avg_work_minutes,
1,446,826774,198630.8333,16.97844545,
2,436,1106830,245186.3333,20.1982316,
3,456,1114403,261437.4167,21.09046601,
4,25,47619,12677.75,16.31628057,
5,518,909382,216404.8333,16.40922303,
6,10,24005,6811.916667,30.96325758,
9,32,48282,12355,15.75892857,
,,,,,
5. Highest-work orders across zones,,,,,
order_id,total_order_work_minutes,zones_touched,total_qty,,
BLR_122268,2785.416667,34,16379,,
BLR_129739,2475.5,35,13056,,
BLR_126050,2442.583333,36,12565,,
BLR_125045,2426.583333,35,11953,,
BLR_122236,2425.083333,35,8485,,
BLR_120620,2317.833333,34,10474,,
BLR_128741,2264,37,10434,,
BLR_122524,2228.916667,36,9617,,
BLR_128126,2219.416667,35,9509,,
BLR_127760,2139,35,9174,,
,,,,,
,,,,,
6. Zones with unusually high workload,,,,,
zone,avg_zone_work,overall_work,,,
combo_9,75.5771033,18.62203549,,,
combo_11,49.33099936,18.62203549,,,
FMCG_FOOD2,43.8812888,18.62203549,,,
combo_6,43.84951199,18.62203549,,,
combo_8,37.65823255,18.62203549,,,
SPICES&DAL,31.72412871,18.62203549,,,
FMCG_FOOD1,31.68704536,18.62203549,,,
BISC_BAK,27.32632199,18.62203549,,,
combo_5,26.17603899,18.62203549,,,
STAPLES,24.44554188,18.62203549,,,
CHOCOLATES,22.92119741,18.62203549,,,
CICO_G2,21.03135314,18.62203549,,,
FRAGILE_FD,20.26390686,18.62203549,,,
CD_CICO,19.86355374,18.62203549,,,
H_STAPLES,18.90433312,18.62203549,,,
,,,,,
,,,,,
7. Day-over-day zone workload — LAG(),,,,,
order_date,zone,daily_work_minutes,previous_day_work_minutes,workload_change,
11/8/2025,ATTA,238.4166667,,,
11/9/2025,ATTA,241.8333333,238.4166667,3.416666667,
11/10/2025,ATTA,375.6666667,241.8333333,133.8333333,
11/11/2025,ATTA,314,375.6666667,-61.66666667,
11/12/2025,ATTA,240.6666667,314,-73.33333333,
11/13/2025,ATTA,371.8333333,240.6666667,131.1666667,
11/14/2025,ATTA,354.4166667,371.8333333,-17.41666667,
11/15/2025,ATTA,286.1666667,354.4166667,-68.25,
11/16/2025,ATTA,260.0833333,286.1666667,-26.08333333,
11/17/2025,ATTA,268.5833333,260.0833333,8.5,
11/18/2025,ATTA,244.4166667,268.5833333,-24.16666667,
11/19/2025,ATTA,252,244.4166667,7.583333333,
11/20/2025,ATTA,363.25,252,111.25,
11/21/2025,ATTA,451.1666667,363.25,87.91666667,
11/22/2025,ATTA,219.3333333,451.1666667,-231.8333333,
11/23/2025,ATTA,196.25,219.3333333,-23.08333333,
11/24/2025,ATTA,397.9166667,196.25,201.6666667,
11/25/2025,ATTA,371.9166667,397.9166667,-26,
11/26/2025,ATTA,302.0833333,371.9166667,-69.83333333,
